PlacesCount,TransitionsCount,ArcsCount,VarsCount,ConditionsCount,Boundedness,ConstraintStates,ConstraintArcs,DeadTransitions,Deadlocks,Soundness,Milliseconds
2,1,2,1,0,True,2,1,0,False,True,32
2,1,2,1,0,True,2,1,0,False,True,1
2,1,2,1,0,True,2,1,0,False,True,1
2,1,2,1,0,True,2,1,0,False,True,1
2,1,2,1,0,True,2,1,0,False,True,1
2,1,2,1,0,True,2,1,0,False,True,2
2,1,2,1,0,True,2,1,0,False,True,2
2,1,2,1,0,True,2,1,0,False,True,1
2,1,2,1,0,True,2,1,0,False,True,2
2,1,2,1,0,True,2,1,0,False,True,1
2,2,4,1,0,True,2,2,0,False,True,4
2,2,4,1,0,True,2,2,0,False,True,3
2,2,4,1,0,True,2,2,0,False,True,3
2,2,4,1,0,True,2,2,0,False,True,2
2,2,4,1,0,True,2,2,0,False,True,3
2,2,4,1,0,True,2,2,0,False,True,3
2,2,4,1,0,True,2,2,0,False,True,3
2,2,4,1,0,True,2,2,0,False,True,3
2,2,4,1,0,True,2,2,0,False,True,2
2,2,4,1,0,True,2,2,0,False,True,3
2,3,6,1,0,True,2,3,0,False,True,4
2,3,6,1,0,True,2,3,0,False,True,8
2,3,6,1,0,True,2,3,0,False,True,4
2,3,6,1,0,True,2,3,0,False,True,4
2,3,6,1,0,True,2,3,0,False,True,3
2,3,6,1,0,True,2,3,0,False,True,4
2,3,6,1,0,True,2,3,0,False,True,6
2,3,6,1,0,True,2,3,0,False,True,4
2,3,6,1,0,True,2,3,0,False,True,5
2,3,6,1,0,True,2,3,0,False,True,3
2,4,8,1,0,True,2,4,0,False,True,6
2,4,8,1,0,True,2,4,0,False,True,5
2,4,8,1,0,True,2,4,0,False,True,5
2,4,8,1,0,True,2,4,0,False,True,4
2,4,8,1,0,True,2,4,0,False,True,6
2,4,8,1,0,True,2,4,0,False,True,18
2,4,8,1,0,True,2,4,0,False,True,7
2,4,8,1,0,True,2,4,0,False,True,10
2,4,8,1,0,True,2,4,0,False,True,9
2,4,8,1,0,True,2,4,0,False,True,6
2,5,10,1,0,True,2,5,0,False,True,7
2,5,10,1,0,True,2,5,0,False,True,7
2,5,10,1,0,True,2,5,0,False,True,8
2,5,10,1,0,True,2,5,0,False,True,9
2,5,10,1,0,True,2,5,0,False,True,9
2,5,10,1,0,True,2,5,0,False,True,7
2,5,10,1,0,True,2,5,0,False,True,6
2,5,10,1,0,True,2,5,0,False,True,17
2,5,10,1,0,True,2,5,0,False,True,10
2,5,10,1,0,True,2,5,0,False,True,9
2,6,12,1,0,True,2,6,0,False,True,9
2,6,12,1,0,True,2,6,0,False,True,9
2,6,12,1,0,True,2,6,0,False,True,6
2,6,12,1,0,True,2,6,0,False,True,7
2,6,12,1,0,True,2,6,0,False,True,6
2,6,12,1,0,True,2,6,0,False,True,9
2,6,12,1,0,True,2,6,0,False,True,7
2,6,12,1,0,True,2,6,0,False,True,12
2,6,12,1,0,True,2,6,0,False,True,7
2,6,12,1,0,True,2,6,0,False,True,11
2,7,14,1,0,True,2,7,0,False,True,11
2,7,14,1,0,True,2,7,0,False,True,14
2,7,14,1,0,True,2,7,0,False,True,11
2,7,14,1,0,True,2,7,0,False,True,14
2,7,14,1,0,True,2,7,0,False,True,19
2,7,14,1,0,True,2,7,0,False,True,14
2,7,14,1,0,True,2,7,0,False,True,9
2,7,14,1,0,True,2,7,0,False,True,9
2,7,14,1,0,True,2,7,0,False,True,16
2,7,14,1,0,True,2,7,0,False,True,24
2,8,16,1,0,True,2,8,0,False,True,19
2,8,16,1,0,True,2,8,0,False,True,28
2,8,16,1,0,True,2,8,0,False,True,19
2,8,16,1,0,True,2,8,0,False,True,17
2,8,16,1,0,True,2,8,0,False,True,17
2,8,16,1,0,True,2,8,0,False,True,15
2,8,16,1,0,True,2,8,0,False,True,12
2,8,16,1,0,True,2,8,0,False,True,15
2,8,16,1,0,True,2,8,0,False,True,16
2,8,16,1,0,True,2,8,0,False,True,14
2,9,18,1,0,True,2,9,0,False,True,35
2,9,18,1,0,True,2,9,0,False,True,31
2,9,18,1,0,True,2,9,0,False,True,19
2,9,18,1,0,True,2,9,0,False,True,18
2,9,18,1,0,True,2,9,0,False,True,22
2,9,18,1,0,True,2,9,0,False,True,31
2,9,18,1,0,True,2,9,0,False,True,24
2,9,18,1,0,True,2,9,0,False,True,38
2,9,18,1,0,True,2,9,0,False,True,29
2,9,18,1,0,True,2,9,0,False,True,35
2,10,20,1,0,True,2,10,0,False,True,24
2,10,20,1,0,True,2,10,0,False,True,23
2,10,20,1,0,True,2,10,0,False,True,33
2,10,20,1,0,True,2,10,0,False,True,57
2,10,20,1,0,True,2,10,0,False,True,24
2,10,20,1,0,True,2,10,0,False,True,34
2,10,20,1,0,True,2,10,0,False,True,28
2,10,20,1,0,True,2,10,0,False,True,32
2,10,20,1,0,True,2,10,0,False,True,31
2,10,20,1,0,True,2,10,0,False,True,24
2,11,22,1,0,True,2,11,0,False,True,26
2,11,22,1,0,True,2,11,0,False,True,23
2,11,22,1,0,True,2,11,0,False,True,33
2,11,22,1,0,True,2,11,0,False,True,21
2,11,22,1,0,True,2,11,0,False,True,20
2,11,22,1,0,True,2,11,0,False,True,22
2,11,22,1,0,True,2,11,0,False,True,21
2,11,22,1,0,True,2,11,0,False,True,34
2,11,22,1,0,True,2,11,0,False,True,40
2,11,22,1,0,True,2,11,0,False,True,34
2,12,24,1,0,True,2,12,0,False,True,26
2,12,24,1,0,True,2,12,0,False,True,30
2,12,24,1,0,True,2,12,0,False,True,25
2,12,24,1,0,True,2,12,0,False,True,25
2,12,24,1,0,True,2,12,0,False,True,21
2,12,24,1,0,True,2,12,0,False,True,14
2,12,24,1,0,True,2,12,0,False,True,20
2,12,24,1,0,True,2,12,0,False,True,16
2,12,24,1,0,True,2,12,0,False,True,26
2,12,24,1,0,True,2,12,0,False,True,30
2,13,26,1,0,True,2,13,0,False,True,31
2,13,26,1,0,True,2,13,0,False,True,27
